Status of existing checking account;Duration in month;Credit history;Purpose;Credit amount;Savings account/bonds;Present employment since;Installment rate in percentage of disposable income;Personal status and sex;Other debtors / guarantors;Present residence since;Property;Age in years;Other installment plans;Housing;Number of existing credits at this bank;Job;Number of people being liable to provide maintenance for;Telephone;foreign worker;Flag
no checking account;24.0;critical account/ other credits existing (not at this bank);car (new);1940.0;.. >= 1000 DM;.. >= 7 years;4.0;male : single;none;4.0;real estate;60.0;none;own;1.0;skilled employee / official;1.0;yes, registered under the customers name;yes;0
0 <= ... < 200 DM;12.0;no credits taken/ all credits paid back duly;retraining;1410.0;... < 100 DM;1 <= ... < 4 years;2.0;male : single;none;2.0;real estate;31.0;none;own;1.0;unskilled - resident;1.0;yes, registered under the customers name;yes;0
0 <= ... < 200 DM;12.0;existing credits paid back duly till now;car (new);836.0;100 <= ... < 500 DM;... < 1 year;4.0;female : divorced/separated/married;none;2.0; building society savings agreement/ life insurance;23.0;bank;own;1.0;unskilled - resident;1.0;none;yes;1
0 <= ... < 200 DM;20.0;existing credits paid back duly till now;car (used);6468.0;unknown/ no savings account;unemployed;1.0;male : divorced/separated;none;4.0;real estate;60.0;none;own;1.0;management/ self-employed/ highly qualified employee/ officer;1.0;yes, registered under the customers name;yes;0
0 <= ... < 200 DM;18.0;existing credits paid back duly till now;business;1941.0;.. >= 1000 DM;1 <= ... < 4 years;4.0;male : single;none;2.0; building society savings agreement/ life insurance;35.0;none;own;1.0;unskilled - resident;1.0;yes, registered under the customers name;yes;0
no checking account;22.0;existing credits paid back duly till now;radio/television;2675.0;500 <= ... < 1000 DM;.. >= 7 years;3.0;male : single;none;4.0;car or other;40.0;none;own;1.0;skilled employee / official;1.0;none;yes;0
no checking account;48.0;critical account/ other credits existing (not at this bank);car (used);2751.0;unknown/ no savings account;.. >= 7 years;4.0;male : single;none;3.0;car or other;38.0;none;own;2.0;skilled employee / official;2.0;yes, registered under the customers name;yes;0
0 <= ... < 200 DM;48.0;delay in paying off in the past;education;6224.0;... < 100 DM;.. >= 7 years;4.0;male : single;none;4.0;unknown / no property;50.0;none;for free;1.0;skilled employee / official;1.0;none;yes;1
... < 0 DM;40.0;critical account/ other credits existing (not at this bank);education;5998.0;... < 100 DM;1 <= ... < 4 years;4.0;male : single;none;3.0;unknown / no property;27.0;bank;own;1.0;skilled employee / official;1.0;yes, registered under the customers name;yes;1
0 <= ... < 200 DM;21.0;existing credits paid back duly till now;business;1188.0;... < 100 DM;.. >= 7 years;2.0;female : divorced/separated/married;none;4.0; building society savings agreement/ life insurance;39.0;none;own;1.0;skilled employee / official;2.0;none;yes;1
no checking account;24.0;existing credits paid back duly till now;car (used);6313.0;unknown/ no savings account;.. >= 7 years;3.0;male : single;none;4.0;car or other;41.0;none;own;1.0;management/ self-employed/ highly qualified employee/ officer;2.0;yes, registered under the customers name;yes;0
no checking account;6.0;critical account/ other credits existing (not at this bank);furniture/equipment;1221.0;unknown/ no savings account;1 <= ... < 4 years;1.0;male : married/widowed;none;2.0; building society savings agreement/ life insurance;27.0;none;own;2.0;skilled employee / official;1.0;none;yes;0
... >= 200 DM / salary assignments for at least 1 year;24.0;existing credits paid back duly till now;furniture/equipment;2892.0;... < 100 DM;.. >= 7 years;3.0;male : divorced/separated;none;4.0;unknown / no property;51.0;none;for free;1.0;skilled employee / official;1.0;none;yes;0
no checking account;24.0;existing credits paid back duly till now;furniture/equipment;3062.0;500 <= ... < 1000 DM;.. >= 7 years;4.0;male : single;none;3.0;unknown / no property;32.0;none;rent;1.0;skilled employee / official;1.0;yes, registered under the customers name;yes;0
no checking account;9.0;existing credits paid back duly till now;furniture/equipment;2301.0;100 <= ... < 500 DM;... < 1 year;2.0;female : divorced/separated/married;none;4.0; building society savings agreement/ life insurance;22.0;none;rent;1.0;skilled employee / official;1.0;none;yes;0
... < 0 DM;18.0;existing credits paid back duly till now;car (used);7511.0;unknown/ no savings account;.. >= 7 years;1.0;male : single;none;4.0; building society savings agreement/ life insurance;51.0;none;for free;1.0;skilled employee / official;2.0;yes, registered under the customers name;yes;1
no checking account;12.0;critical account/ other credits existing (not at this bank);furniture/equipment;1258.0;... < 100 DM;... < 1 year;2.0;female : divorced/separated/married;none;4.0; building society savings agreement/ life insurance;22.0;none;rent;2.0;unskilled - resident;1.0;none;yes;0
no checking account;24.0;delay in paying off in the past;car (new);717.0;unknown/ no savings account;.. >= 7 years;4.0;male : married/widowed;none;4.0;car or other;54.0;none;own;2.0;skilled employee / official;1.0;yes, registered under the customers name;yes;0
0 <= ... < 200 DM;9.0;existing credits paid back duly till now;car (new);1549.0;unknown/ no savings account;... < 1 year;4.0;male : single;none;2.0;real estate;35.0;none;own;1.0;unemployed/ unskilled - non-resident;1.0;none;yes;0
no checking account;24.0;critical account/ other credits existing (not at this bank);education;1597.0;... < 100 DM;.. >= 7 years;4.0;male : single;none;4.0;unknown / no property;54.0;none;for free;2.0;skilled employee / official;2.0;none;yes;0
0 <= ... < 200 DM;18.0;critical account/ other credits existing (not at this bank);radio/television;1795.0;... < 100 DM;.. >= 7 years;3.0;female : divorced/separated/married;guarantor;4.0;real estate;48.0;bank;rent;2.0;unskilled - resident;1.0;yes, registered under the customers name;yes;0
... < 0 DM;20.0;critical account/ other credits existing (not at this bank);furniture/equipment;4272.0;... < 100 DM;.. >= 7 years;1.0;female : divorced/separated/married;none;4.0; building society savings agreement/ life insurance;24.0;none;own;2.0;skilled employee / official;1.0;none;yes;0
no checking account;12.0;critical account/ other credits existing (not at this bank);radio/television;976.0;unknown/ no savings account;.. >= 7 years;4.0;male : single;none;4.0;car or other;35.0;none;own;2.0;skilled employee / official;1.0;none;yes;0
0 <= ... < 200 DM;12.0;existing credits paid back duly till now;car (new);7472.0;unknown/ no savings account;unemployed;1.0;female : divorced/separated/married;none;2.0;real estate;24.0;none;rent;1.0;unemployed/ unskilled - non-resident;1.0;none;yes;0
... < 0 DM;36.0;existing credits paid back duly till now;car (new);9271.0;... < 100 DM;4 <= ... < 7 years;2.0;male : single;none;1.0;car or other;24.0;none;own;1.0;skilled employee / official;1.0;yes, registered under the customers name;yes;1
0 <= ... < 200 DM;6.0;existing credits paid back duly till now;radio/television;590.0;... < 100 DM;... < 1 year;3.0;male : married/widowed;none;3.0;real estate;26.0;none;own;1.0;unskilled - resident;1.0;none;no;0
no checking account;12.0;critical account/ other credits existing (not at this bank);radio/television;930.0;unknown/ no savings account;.. >= 7 years;4.0;male : single;none;4.0;real estate;65.0;none;own;4.0;skilled employee / official;1.0;none;yes;0
0 <= ... < 200 DM;42.0;all credits at this bank paid back duly;car (used);9283.0;... < 100 DM;unemployed;1.0;male : single;none;2.0;unknown / no property;55.0;bank;for free;1.0;management/ self-employed/ highly qualified employee/ officer;1.0;yes, registered under the customers name;yes;0
0 <= ... < 200 DM;15.0;no credits taken/ all credits paid back duly;car (new);1778.0;... < 100 DM;... < 1 year;2.0;female : divorced/separated/married;none;1.0;real estate;26.0;none;rent;2.0;unemployed/ unskilled - non-resident;1.0;none;yes;1
0 <= ... < 200 DM;8.0;existing credits paid back duly till now;business;907.0;... < 100 DM;... < 1 year;3.0;male : married/widowed;none;2.0;real estate;26.0;none;own;1.0;skilled employee / official;1.0;yes, registered under the customers name;yes;0
0 <= ... < 200 DM;6.0;existing credits paid back duly till now;radio/television;484.0;... < 100 DM;4 <= ... < 7 years;3.0;male : married/widowed;guarantor;3.0;real estate;28.0;bank;own;1.0;unskilled - resident;1.0;none;yes;0
... < 0 DM;36.0;critical account/ other credits existing (not at this bank);car (used);9629.0;... < 100 DM;4 <= ... < 7 years;4.0;male : single;none;4.0;car or other;24.0;none;own;2.0;skilled employee / official;1.0;yes, registered under the customers name;yes;1
... < 0 DM;48.0;existing credits paid back duly till now;domestic appliances;3051.0;... < 100 DM;1 <= ... < 4 years;3.0;male : single;none;4.0;car or other;54.0;none;own;1.0;skilled employee / official;1.0;none;yes;1
... < 0 DM;48.0;existing credits paid back duly till now;car (new);3931.0;... < 100 DM;4 <= ... < 7 years;4.0;male : single;none;4.0;unknown / no property;46.0;none;for free;1.0;skilled employee / official;2.0;none;yes;1
0 <= ... < 200 DM;36.0;delay in paying off in the past;car (new);7432.0;... < 100 DM;1 <= ... < 4 years;2.0;female : divorced/separated/married;none;2.0; building society savings agreement/ life insurance;54.0;none;rent;1.0;skilled employee / official;1.0;none;yes;0
no checking account;6.0;existing credits paid back duly till now;domestic appliances;1338.0;500 <= ... < 1000 DM;1 <= ... < 4 years;1.0;male : divorced/separated;none;4.0;real estate;62.0;none;own;1.0;skilled employee / official;1.0;none;yes;0
no checking account;6.0;critical account/ other credits existing (not at this bank);radio/television;1554.0;... < 100 DM;4 <= ... < 7 years;1.0;female : divorced/separated/married;none;2.0;car or other;24.0;none;rent;2.0;skilled employee / official;1.0;yes, registered under the customers name;yes;0
... < 0 DM;36.0;existing credits paid back duly till now;others;15857.0;... < 100 DM;unemployed;2.0;male : divorced/separated;co-applicant;3.0;car or other;43.0;none;own;1.0;management/ self-employed/ highly qualified employee/ officer;1.0;none;yes;0
... < 0 DM;18.0;existing credits paid back duly till now;radio/television;1345.0;... < 100 DM;1 <= ... < 4 years;4.0;male : married/widowed;none;3.0;real estate;26.0;bank;own;1.0;skilled employee / official;1.0;none;yes;1
no checking account;12.0;existing credits paid back duly till now;car (new);1101.0;... < 100 DM;1 <= ... < 4 years;3.0;male : married/widowed;none;2.0;real estate;27.0;none;own;2.0;skilled employee / official;1.0;yes, registered under the customers name;yes;0
... >= 200 DM / salary assignments for at least 1 year;12.0;existing credits paid back duly till now;radio/television;3016.0;... < 100 DM;1 <= ... < 4 years;3.0;male : married/widowed;none;1.0;car or other;24.0;none;own;1.0;skilled employee / official;1.0;none;yes;0
... < 0 DM;36.0;existing credits paid back duly till now;furniture/equipment;2712.0;... < 100 DM;.. >= 7 years;2.0;male : single;none;2.0; building society savings agreement/ life insurance;41.0;bank;own;1.0;skilled employee / official;2.0;none;yes;1
... < 0 DM;8.0;critical account/ other credits existing (not at this bank);car (new);731.0;... < 100 DM;.. >= 7 years;4.0;male : single;none;4.0;real estate;47.0;none;own;2.0;unskilled - resident;1.0;none;yes;0
no checking account;18.0;critical account/ other credits existing (not at this bank);furniture/equipment;3780.0;... < 100 DM;... < 1 year;3.0;male : divorced/separated;none;2.0;car or other;35.0;none;own;2.0;management/ self-employed/ highly qualified employee/ officer;1.0;yes, registered under the customers name;yes;0
... < 0 DM;21.0;critical account/ other credits existing (not at this bank);car (new);1602.0;... < 100 DM;.. >= 7 years;4.0;male : married/widowed;none;3.0;car or other;30.0;none;own;2.0;skilled employee / official;1.0;yes, registered under the customers name;yes;0
... < 0 DM;18.0;critical account/ other credits existing (not at this bank);car (new);3966.0;... < 100 DM;.. >= 7 years;1.0;female : divorced/separated/married;none;4.0;real estate;33.0;bank;rent;3.0;skilled employee / official;1.0;yes, registered under the customers name;yes;1
no checking account;18.0;no credits taken/ all credits paid back duly;business;4165.0;... < 100 DM;1 <= ... < 4 years;2.0;male : single;none;2.0;car or other;36.0;stores;own;2.0;skilled employee / official;2.0;none;yes;1
... < 0 DM;36.0;existing credits paid back duly till now;car (used);8335.0;unknown/ no savings account;.. >= 7 years;3.0;male : single;none;4.0;unknown / no property;47.0;none;for free;1.0;skilled employee / official;1.0;none;yes;1
0 <= ... < 200 DM;48.0;delay in paying off in the past;business;6681.0;unknown/ no savings account;1 <= ... < 4 years;4.0;male : single;none;4.0;unknown / no property;38.0;none;for free;1.0;skilled employee / official;2.0;yes, registered under the customers name;yes;0
no checking account;24.0;delay in paying off in the past;business;2375.0;500 <= ... < 1000 DM;1 <= ... < 4 years;4.0;male : single;none;2.0;car or other;44.0;none;own;2.0;skilled employee / official;2.0;yes, registered under the customers name;yes;0
... < 0 DM;18.0;existing credits paid back duly till now;car (new);1216.0;... < 100 DM;... < 1 year;4.0;female : divorced/separated/married;none;3.0;car or other;23.0;none;rent;1.0;skilled employee / official;1.0;yes, registered under the customers name;yes;1
... < 0 DM;45.0;no credits taken/ all credits paid back duly;business;11816.0;... < 100 DM;.. >= 7 years;2.0;male : single;none;4.0;car or other;29.0;none;rent;2.0;skilled employee / official;1.0;none;yes;1
0 <= ... < 200 DM;24.0;existing credits paid back duly till now;radio/television;5084.0;unknown/ no savings account;.. >= 7 years;2.0;female : divorced/separated/married;none;4.0;car or other;42.0;none;own;1.0;skilled employee / official;1.0;yes, registered under the customers name;yes;0
... >= 200 DM / salary assignments for at least 1 year;15.0;existing credits paid back duly till now;radio/television;2327.0;... < 100 DM;... < 1 year;2.0;female : divorced/separated/married;none;3.0;real estate;25.0;none;own;1.0;unskilled - resident;1.0;none;yes;1
... < 0 DM;12.0;no credits taken/ all credits paid back duly;car (new);1082.0;... < 100 DM;1 <= ... < 4 years;4.0;male : single;none;4.0;car or other;48.0;bank;own;2.0;skilled employee / official;1.0;none;yes;1
no checking account;12.0;existing credits paid back duly till now;radio/television;886.0;unknown/ no savings account;1 <= ... < 4 years;4.0;female : divorced/separated/married;none;2.0;car or other;21.0;none;own;1.0;skilled employee / official;1.0;none;yes;0
no checking account;4.0;existing credits paid back duly till now;furniture/equipment;601.0;... < 100 DM;... < 1 year;1.0;female : divorced/separated/married;none;3.0;real estate;23.0;none;rent;1.0;unskilled - resident;2.0;none;yes;0
... < 0 DM;24.0;critical account/ other credits existing (not at this bank);car (used);2957.0;... < 100 DM;.. >= 7 years;4.0;male : single;none;4.0; building society savings agreement/ life insurance;63.0;none;own;2.0;skilled employee / official;1.0;yes, registered under the customers name;yes;0
no checking account;24.0;critical account/ other credits existing (not at this bank);radio/television;2611.0;... < 100 DM;.. >= 7 years;4.0;male : married/widowed;co-applicant;3.0;real estate;46.0;none;own;2.0;skilled employee / official;1.0;none;yes;0
... < 0 DM;36.0;existing credits paid back duly till now;furniture/equipment;5179.0;... < 100 DM;4 <= ... < 7 years;4.0;male : single;none;2.0; building society savings agreement/ life insurance;29.0;none;own;1.0;skilled employee / official;1.0;none;yes;1
no checking account;21.0;delay in paying off in the past;car (used);2993.0;... < 100 DM;1 <= ... < 4 years;3.0;male : single;none;2.0;real estate;28.0;stores;own;2.0;unskilled - resident;1.0;none;yes;0
no checking account;18.0;existing credits paid back duly till now;repairs;1943.0;... < 100 DM;... < 1 year;4.0;female : divorced/separated/married;none;4.0;real estate;23.0;none;own;1.0;skilled employee / official;1.0;none;yes;1
no checking account;24.0;all credits at this bank paid back duly;business;1559.0;... < 100 DM;4 <= ... < 7 years;4.0;male : single;none;4.0;car or other;50.0;bank;own;1.0;skilled employee / official;1.0;yes, registered under the customers name;yes;0
no checking account;18.0;existing credits paid back duly till now;furniture/equipment;3422.0;... < 100 DM;.. >= 7 years;4.0;male : single;none;4.0; building society savings agreement/ life insurance;47.0;bank;own;3.0;skilled employee / official;2.0;yes, registered under the customers name;yes;0
0 <= ... < 200 DM;21.0;existing credits paid back duly till now;furniture/equipment;3976.0;unknown/ no savings account;4 <= ... < 7 years;2.0;male : single;none;3.0;car or other;35.0;none;own;1.0;skilled employee / official;1.0;yes, registered under the customers name;yes;0
no checking account;18.0;existing credits paid back duly till now;car (new);6761.0;unknown/ no savings account;1 <= ... < 4 years;2.0;male : single;none;4.0;car or other;68.0;none;rent;2.0;skilled employee / official;1.0;none;yes;1
no checking account;24.0;existing credits paid back duly till now;car (new);1249.0;... < 100 DM;... < 1 year;4.0;male : married/widowed;none;2.0;real estate;28.0;none;own;1.0;skilled employee / official;1.0;none;yes;0
... < 0 DM;9.0;existing credits paid back duly till now;radio/television;1364.0;... < 100 DM;4 <= ... < 7 years;3.0;male : single;none;4.0;real estate;59.0;none;own;1.0;skilled employee / official;1.0;none;yes;0
... < 0 DM;12.0;existing credits paid back duly till now;radio/television;709.0;... < 100 DM;.. >= 7 years;4.0;male : single;none;4.0;real estate;57.0;stores;own;1.0;unskilled - resident;1.0;none;yes;1
... < 0 DM;20.0;critical account/ other credits existing (not at this bank);car (new);2235.0;... < 100 DM;1 <= ... < 4 years;4.0;male : married/widowed;guarantor;2.0; building society savings agreement/ life insurance;33.0;bank;rent;2.0;skilled employee / official;1.0;none;no;1
no checking account;24.0;critical account/ other credits existing (not at this bank);car (used);4042.0;unknown/ no savings account;4 <= ... < 7 years;3.0;male : single;none;4.0; building society savings agreement/ life insurance;43.0;none;own;2.0;skilled employee / official;1.0;yes, registered under the customers name;yes;0
no checking account;15.0;critical account/ other credits existing (not at this bank);radio/television;1471.0;... < 100 DM;1 <= ... < 4 years;4.0;male : single;none;4.0;unknown / no property;35.0;none;for free;2.0;skilled employee / official;1.0;yes, registered under the customers name;yes;0
... < 0 DM;18.0;all credits at this bank paid back duly;car (new);1442.0;... < 100 DM;4 <= ... < 7 years;4.0;male : single;none;4.0;unknown / no property;32.0;none;for free;2.0;unskilled - resident;2.0;none;yes;1
no checking account;36.0;delay in paying off in the past;car (new);10875.0;... < 100 DM;.. >= 7 years;2.0;male : single;none;2.0;car or other;45.0;none;own;2.0;skilled employee / official;2.0;yes, registered under the customers name;yes;0
no checking account;24.0;existing credits paid back duly till now;car (new);1474.0;100 <= ... < 500 DM;... < 1 year;4.0;male : married/widowed;none;3.0;real estate;33.0;none;own;1.0;skilled employee / official;1.0;yes, registered under the customers name;yes;0
no checking account;10.0;existing credits paid back duly till now;retraining;894.0;unknown/ no savings account;4 <= ... < 7 years;4.0;female : divorced/separated/married;none;3.0; building society savings agreement/ life insurance;40.0;none;own;1.0;skilled employee / official;1.0;yes, registered under the customers name;yes;0
no checking account;15.0;critical account/ other credits existing (not at this bank);furniture/equipment;3343.0;... < 100 DM;1 <= ... < 4 years;4.0;male : single;none;2.0;unknown / no property;28.0;none;for free;1.0;skilled employee / official;1.0;yes, registered under the customers name;yes;0
... < 0 DM;15.0;existing credits paid back duly till now;car (new);3959.0;... < 100 DM;1 <= ... < 4 years;3.0;female : divorced/separated/married;none;2.0; building society savings agreement/ life insurance;29.0;none;own;1.0;skilled employee / official;1.0;yes, registered under the customers name;yes;1
no checking account;9.0;existing credits paid back duly till now;car (new);3577.0;100 <= ... < 500 DM;1 <= ... < 4 years;1.0;male : single;guarantor;2.0;real estate;26.0;none;rent;1.0;skilled employee / official;2.0;none;no;0
no checking account;24.0;critical account/ other credits existing (not at this bank);car (used);5804.0;.. >= 1000 DM;1 <= ... < 4 years;4.0;male : single;none;2.0;real estate;27.0;none;own;2.0;skilled employee / official;1.0;none;yes;0
no checking account;18.0;delay in paying off in the past;business;2169.0;... < 100 DM;1 <= ... < 4 years;4.0;male : married/widowed;none;2.0;car or other;28.0;none;own;1.0;skilled employee / official;1.0;yes, registered under the customers name;yes;1
... < 0 DM;24.0;existing credits paid back duly till now;radio/television;2439.0;... < 100 DM;... < 1 year;4.0;female : divorced/separated/married;none;4.0;real estate;35.0;none;own;1.0;skilled employee / official;1.0;yes, registered under the customers name;yes;1
no checking account;27.0;critical account/ other credits existing (not at this bank);furniture/equipment;4526.0;.. >= 1000 DM;... < 1 year;4.0;male : single;none;2.0;real estate;32.0;stores;own;2.0;unskilled - resident;2.0;yes, registered under the customers name;yes;0
no checking account;10.0;existing credits paid back duly till now;furniture/equipment;2210.0;... < 100 DM;1 <= ... < 4 years;2.0;male : single;none;2.0;real estate;25.0;bank;rent;1.0;unskilled - resident;1.0;none;yes;1
no checking account;15.0;existing credits paid back duly till now;furniture/equipment;2221.0;500 <= ... < 1000 DM;1 <= ... < 4 years;2.0;female : divorced/separated/married;none;4.0;car or other;20.0;none;rent;1.0;skilled employee / official;1.0;none;yes;0
... < 0 DM;18.0;existing credits paid back duly till now;radio/television;2389.0;... < 100 DM;... < 1 year;4.0;female : divorced/separated/married;none;1.0;car or other;27.0;stores;own;1.0;skilled employee / official;1.0;none;yes;0
no checking account;12.0;critical account/ other credits existing (not at this bank);furniture/equipment;3331.0;... < 100 DM;.. >= 7 years;2.0;male : single;none;4.0; building society savings agreement/ life insurance;42.0;stores;own;1.0;skilled employee / official;1.0;none;yes;0
no checking account;36.0;existing credits paid back duly till now;business;7409.0;unknown/ no savings account;.. >= 7 years;3.0;male : single;none;2.0; building society savings agreement/ life insurance;37.0;none;own;2.0;skilled employee / official;1.0;none;yes;0
... < 0 DM;12.0;existing credits paid back duly till now;furniture/equipment;652.0;... < 100 DM;.. >= 7 years;4.0;female : divorced/separated/married;none;4.0; building society savings agreement/ life insurance;24.0;none;rent;1.0;skilled employee / official;1.0;none;yes;0
no checking account;36.0;delay in paying off in the past;furniture/equipment;7678.0;500 <= ... < 1000 DM;4 <= ... < 7 years;2.0;female : divorced/separated/married;none;4.0;car or other;40.0;none;own;2.0;skilled employee / official;1.0;yes, registered under the customers name;yes;0
... >= 200 DM / salary assignments for at least 1 year;6.0;critical account/ other credits existing (not at this bank);car (new);1343.0;... < 100 DM;.. >= 7 years;1.0;male : single;none;4.0;real estate;46.0;none;own;2.0;skilled employee / official;2.0;none;no;0
... < 0 DM;24.0;critical account/ other credits existing (not at this bank);business;1382.0;100 <= ... < 500 DM;4 <= ... < 7 years;4.0;male : single;none;1.0;real estate;26.0;none;own;2.0;skilled employee / official;1.0;yes, registered under the customers name;yes;0
no checking account;15.0;existing credits paid back duly till now;domestic appliances;874.0;unknown/ no savings account;... < 1 year;4.0;female : divorced/separated/married;none;1.0;real estate;24.0;none;own;1.0;skilled employee / official;1.0;none;yes;0
... < 0 DM;12.0;existing credits paid back duly till now;furniture/equipment;3590.0;... < 100 DM;1 <= ... < 4 years;2.0;male : single;co-applicant;2.0; building society savings agreement/ life insurance;29.0;none;own;1.0;unskilled - resident;2.0;none;yes;0
0 <= ... < 200 DM;11.0;critical account/ other credits existing (not at this bank);car (new);1322.0;.. >= 1000 DM;1 <= ... < 4 years;4.0;female : divorced/separated/married;none;4.0;car or other;40.0;none;own;2.0;skilled employee / official;1.0;none;yes;0
... < 0 DM;18.0;all credits at this bank paid back duly;radio/television;1940.0;... < 100 DM;... < 1 year;3.0;male : single;co-applicant;4.0;unknown / no property;36.0;bank;for free;1.0;management/ self-employed/ highly qualified employee/ officer;1.0;yes, registered under the customers name;yes;0
no checking account;36.0;existing credits paid back duly till now;radio/television;3595.0;... < 100 DM;.. >= 7 years;4.0;male : single;none;2.0;car or other;28.0;none;own;1.0;skilled employee / official;1.0;none;yes;0
... < 0 DM;9.0;existing credits paid back duly till now;car (new);1422.0;... < 100 DM;... < 1 year;3.0;male : single;none;2.0;unknown / no property;27.0;none;for free;1.0;management/ self-employed/ highly qualified employee/ officer;1.0;yes, registered under the customers name;yes;1
no checking account;30.0;critical account/ other credits existing (not at this bank);radio/television;6742.0;unknown/ no savings account;4 <= ... < 7 years;2.0;male : single;none;3.0; building society savings agreement/ life insurance;36.0;none;own;2.0;skilled employee / official;1.0;none;yes;0
no checking account;24.0;existing credits paid back duly till now;car (used);7814.0;... < 100 DM;4 <= ... < 7 years;3.0;male : single;none;3.0;car or other;38.0;none;own;1.0;management/ self-employed/ highly qualified employee/ officer;1.0;yes, registered under the customers name;yes;0
no checking account;24.0;existing credits paid back duly till now;car (used);9277.0;unknown/ no savings account;1 <= ... < 4 years;2.0;male : divorced/separated;none;4.0;unknown / no property;48.0;none;for free;1.0;skilled employee / official;1.0;yes, registered under the customers name;yes;0
0 <= ... < 200 DM;30.0;critical account/ other credits existing (not at this bank);car (new);2181.0;unknown/ no savings account;.. >= 7 years;4.0;male : single;none;4.0;real estate;36.0;none;own;2.0;skilled employee / official;1.0;none;yes;0
no checking account;18.0;critical account/ other credits existing (not at this bank);radio/television;1098.0;... < 100 DM;unemployed;4.0;female : divorced/separated/married;none;4.0;car or other;65.0;none;own;2.0;unemployed/ unskilled - non-resident;1.0;none;yes;0
0 <= ... < 200 DM;24.0;existing credits paid back duly till now;furniture/equipment;4057.0;... < 100 DM;4 <= ... < 7 years;3.0;male : divorced/separated;none;3.0;car or other;43.0;none;own;1.0;skilled employee / official;1.0;yes, registered under the customers name;yes;1
... < 0 DM;12.0;existing credits paid back duly till now;education;795.0;... < 100 DM;... < 1 year;4.0;female : divorced/separated/married;none;4.0; building society savings agreement/ life insurance;53.0;none;own;1.0;skilled employee / official;1.0;none;yes;1
0 <= ... < 200 DM;24.0;critical account/ other credits existing (not at this bank);business;2825.0;unknown/ no savings account;4 <= ... < 7 years;4.0;male : single;none;3.0;unknown / no property;34.0;none;own;2.0;skilled employee / official;2.0;yes, registered under the customers name;yes;0
0 <= ... < 200 DM;48.0;existing credits paid back duly till now;business;15672.0;... < 100 DM;1 <= ... < 4 years;2.0;male : single;none;2.0;car or other;23.0;none;own;1.0;skilled employee / official;1.0;yes, registered under the customers name;yes;1
no checking account;36.0;critical account/ other credits existing (not at this bank);car (new);6614.0;... < 100 DM;.. >= 7 years;4.0;male : single;none;4.0;car or other;34.0;none;own;2.0;management/ self-employed/ highly qualified employee/ officer;1.0;yes, registered under the customers name;yes;0
no checking account;28.0;all credits at this bank paid back duly;car (used);7824.0;unknown/ no savings account;... < 1 year;3.0;male : single;guarantor;4.0;real estate;40.0;bank;rent;2.0;skilled employee / official;2.0;yes, registered under the customers name;yes;0
... < 0 DM;27.0;critical account/ other credits existing (not at this bank);business;2442.0;... < 100 DM;.. >= 7 years;4.0;male : single;none;4.0;car or other;43.0;stores;own;4.0;management/ self-employed/ highly qualified employee/ officer;2.0;yes, registered under the customers name;yes;0
no checking account;15.0;critical account/ other credits existing (not at this bank);radio/television;1829.0;... < 100 DM;.. >= 7 years;4.0;male : single;none;4.0;car or other;46.0;none;own;2.0;skilled employee / official;1.0;yes, registered under the customers name;yes;0
... < 0 DM;12.0;critical account/ other credits existing (not at this bank);car (new);2171.0;... < 100 DM;1 <= ... < 4 years;4.0;male : single;none;4.0; building society savings agreement/ life insurance;38.0;bank;own;2.0;unskilled - resident;1.0;none;no;0
0 <= ... < 200 DM;36.0;critical account/ other credits existing (not at this bank);car (used);5800.0;... < 100 DM;1 <= ... < 4 years;3.0;male : single;none;4.0;car or other;34.0;none;own;2.0;skilled employee / official;1.0;yes, registered under the customers name;yes;0
no checking account;18.0;critical account/ other credits existing (not at this bank);radio/television;1169.0;unknown/ no savings account;1 <= ... < 4 years;4.0;male : single;none;3.0; building society savings agreement/ life insurance;29.0;none;own;2.0;skilled employee / official;1.0;yes, registered under the customers name;yes;0
no checking account;36.0;delay in paying off in the past;car (used);8947.0;unknown/ no savings account;4 <= ... < 7 years;3.0;male : single;none;2.0;car or other;31.0;stores;own;1.0;management/ self-employed/ highly qualified employee/ officer;2.0;yes, registered under the customers name;yes;0
... < 0 DM;21.0;existing credits paid back duly till now;radio/television;2606.0;... < 100 DM;... < 1 year;4.0;female : divorced/separated/married;none;4.0; building society savings agreement/ life insurance;28.0;none;rent;1.0;management/ self-employed/ highly qualified employee/ officer;1.0;yes, registered under the customers name;yes;0
no checking account;12.0;critical account/ other credits existing (not at this bank);furniture/equipment;1592.0;.. >= 1000 DM;4 <= ... < 7 years;3.0;female : divorced/separated/married;none;2.0; building society savings agreement/ life insurance;35.0;none;own;1.0;skilled employee / official;1.0;none;no;0
no checking account;15.0;existing credits paid back duly till now;furniture/equipment;2186.0;unknown/ no savings account;4 <= ... < 7 years;1.0;female : divorced/separated/married;none;4.0;real estate;33.0;bank;rent;1.0;unskilled - resident;1.0;none;yes;0
... < 0 DM;18.0;existing credits paid back duly till now;furniture/equipment;4153.0;... < 100 DM;1 <= ... < 4 years;2.0;male : single;co-applicant;3.0;car or other;42.0;none;own;1.0;skilled employee / official;1.0;none;yes;1
... < 0 DM;16.0;critical account/ other credits existing (not at this bank);car (new);2625.0;... < 100 DM;.. >= 7 years;2.0;male : single;guarantor;4.0; building society savings agreement/ life insurance;43.0;bank;rent;1.0;skilled employee / official;1.0;yes, registered under the customers name;yes;1
